,Selection,img_path,caption,foil,linguistic_phenomena,Approval,Notes,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group,"% can't tell (google form, existence only)","% can tell (google form, existence only)","% unsure (google form, existence only)",Caption edited,Foil edited
234,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2345780.jpg,There are no people.,There is at least one person.,existence,Approve,50%+ CAN'T answer blurred version on google forms,20.112714767456,19.4181613922119,0.69455337524414,medium_perf,80.0,0.0,20.0,,
236,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2318073.jpg,There is at least one light.,There are no lights.,existence,Approve,"40% can't answer based on blurrred image, 40% can tell, 20% unsure -> approval/rejection based on random sampling outcome taking 3 out of 7 candidates",22.0743541717529,21.4285888671875,0.645765304565429,medium_perf,40.0,40.0,20.0,,
237,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2411942.jpg,There is at least one zebra in the picture.,There are no zebras in the picture.,existence,Approve,50%+ CAN'T answer blurred version on google forms,30.1185989379882,29.4871597290039,0.631439208984375,medium_perf,100.0,0.0,0.0,,
239,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2394557.jpg,There are no people in this photo.,There is at least one person in this photo.,existence,Approve,50%+ CAN'T answer blurred version on google forms,21.4265537261962,20.9052658081054,0.52128791809082,medium_perf,80.0,20.0,0.0,,
240,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2336798.jpg,There are no people.,There is at least one person.,existence,Approve,50%+ CAN'T answer blurred version on google forms,20.0300483703613,19.6077404022216,0.422307968139648,medium_perf,60.0,20.0,20.0,,
241,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2352298.jpg,There are no clouds in the sky.,There is at least one cloud in the sky.,existence,Approve,50%+ CAN'T answer blurred version on google forms,19.9203224182128,19.5329151153564,0.387407302856445,medium_perf,60.0,20.0,20.0,,
243,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2325309.jpg,There are no animals pictured.,There is at least one animal pictured.,existence,Approve,50%+ CAN'T answer blurred version on google forms,24.0012912750244,23.6189422607421,0.382349014282226,medium_perf,80.0,0.0,20.0,,
245,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2359944.jpg,There is a person pictured.,There is no person pictured.,existence,Approve,50%+ CAN'T answer blurred version on google forms,21.5264873504638,21.2059955596923,0.320491790771484,medium_perf,80.0,20.0,0.0,,
246,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2363617.jpg,There is a pitcher visible.,There is no pitcher visible.,existence,Approve,50%+ CAN'T answer blurred version on google forms,19.3481540679931,19.1691932678222,0.178960800170898,medium_perf,80.0,0.0,20.0,,
248,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2328270.jpg,There are no people in the image.,There is at least one person in the image.,existence,Approve,50%+ CAN'T answer blurred version on google forms,18.5335578918457,18.4418506622314,0.0917072296142578,medium_perf,100.0,0.0,0.0,,
250,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2411632.jpg,There are no people in the photo.,There is at least one person in the photo.,existence,Approve,50%+ CAN'T answer blurred version on google forms,19.6058864593505,19.6174526214599,-0.011566162109375,low_perf,60.0,40.0,0.0,,
254,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2370812.jpg,There are no people.,There is at least one person.,existence,Approve,50%+ CAN'T answer blurred version on google forms,15.9817810058593,16.0980758666992,-0.116294860839843,low_perf,100.0,0.0,0.0,,
255,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2362476.jpg,There is at least one eagle visible.,There are no eagles visible.,existence,Approve,"40% can't tell, <=20% can tell",24.2429580688476,24.3872966766357,-0.144338607788085,low_perf,40.0,20.0,40.0,,
256,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2316446.jpg,There are no people in the photo.,There is at least one person in the photo.,existence,Approve,"40% can't tell, <=20% can tell",22.1691074371337,22.3170528411865,-0.147945404052734,low_perf,40.0,0.0,60.0,,
257,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2323857.jpg,There is fruit.,There is no fruit.,existence,Approve,"40% can't tell, <=20% can tell",24.5273323059082,24.7726402282714,-0.245307922363281,low_perf,40.0,20.0,40.0,,
258,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2335370.jpg,There are no people in the picture.,There is at least one person in the picture.,existence,Approve,50%+ CAN'T answer blurred version on google forms,21.0576019287109,21.3259735107421,-0.26837158203125,low_perf,80.0,20.0,0.0,,
261,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2363335.jpg,There is a mast on the closest boat.,There is no mast on the closest boat.,existence,Approve,50%+ CAN'T answer blurred version on google forms,24.5486507415771,24.9197177886962,-0.37106704711914,low_perf,80.0,20.0,0.0,,
265,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2359039.jpg,There is at least one zebra facing right.,There are no zebras facing right.,existence,Approve,"40% can't tell, <=20% can tell",29.5964031219482,30.2718124389648,-0.675409317016601,low_perf,40.0,20.0,40.0,,
266,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2349587.jpg,There are no people.,There is at least one person.,existence,Approve,"40% can't answer based on blurrred image, 40% can tell, 20% unsure -> approval/rejection based on random sampling outcome taking 3 out of 7 candidates",16.677541732788,17.3847846984863,-0.707242965698242,low_perf,40.0,40.0,20.0,,
268,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2389519.jpg,There is at least one bike on the rack.,There are no bikes on the rack.,existence,Approve,50%+ CAN'T answer blurred version on google forms,23.3169574737548,25.1635627746582,-1.84660530090332,low_perf,100.0,0.0,0.0,,
190,Second set (Jan 17),../VALSE_data/images/swig/speaking_84.jpg,A baby speaks on a telephone.,A baby sits on a telephone.,actions,Approve,,28.0244350433349,28.1068592071533,-0.0824241638183593,low_perf,,,,,
183,Second set (Jan 17),../VALSE_data/images/swig/shushing_24.jpg,A man shushes people.,The people shush the man.,actions,Approve,,22.17746925354,24.9640483856201,-2.78657913208007,low_perf,,,,,
108,First set (Jan 16),../VALSE_data/images/swig/bandaging_136.jpg,A teacher bandages a girl.,A girl bandages her teacher.,actions,Approve,,30.6155014038085,31.4525623321533,-0.837060928344726,low_perf,,,,,
182,Second set (Jan 17),../VALSE_data/images/swig/shopping_215.jpg,A woman shops at a grocery store.,A woman winks at a grocery store.,actions,Approve,,28.2444381713867,28.0657615661621,0.178676605224609,low_perf,,,,,
140,Second set (Jan 17),../VALSE_data/images/swig/frisking_20.jpg,A policeman frisks a man.,A man frisks a policeman.,actions,Approve,,28.9246578216552,28.6184310913085,0.306226730346679,low_perf,,,,,
118,First set (Jan 16),../VALSE_data/images/swig/chasing_345.jpg,A motorcyclist chases after a man.,A man chases after a motorcyclist.,actions,Approve,,25.8980731964111,26.9746150970459,-1.07654190063476,low_perf,,,,,
112,First set (Jan 16),../VALSE_data/images/swig/buttoning_129.jpg,A man buttons up a sweater.,A man folds up a sweater.,actions,Approve,,29.3315734863281,30.3169269561767,-0.985353469848632,low_perf,,,,,
202,Second set (Jan 17),../VALSE_data/images/swig/tripping_125.jpg,A man trips across a wire.,A man claws across a wire.,actions,Approve,,27.4447917938232,27.190013885498,0.254777908325195,low_perf,,,,,
147,Second set (Jan 17),../VALSE_data/images/swig/instructing_116.jpg,A woman instructs people.,The people instruct the woman.,actions,Approve,,22.9611778259277,21.7170085906982,1.24416923522949,medium_perf,,,,,
174,First set (Jan 16),../VALSE_data/images/swig/punching_28.jpg,A woman punches a man.,A man punches a woman.,actions,Approve,,28.2690925598144,27.7036113739013,0.565481185913085,medium_perf,,,,,
105,First set (Jan 16),../VALSE_data/images/swig/admiring_372.jpg,A woman admires a baby.,A woman kicks a baby.,actions,Approve,,27.8955745697021,27.128396987915,0.767177581787109,medium_perf,,,,,
195,First set (Jan 16),../VALSE_data/images/swig/subduing_201.jpg,A policeman subdues a man.,A man subdues a policeman.,actions,Approve,,27.9730033874511,27.2654609680175,0.707542419433593,medium_perf,,,,,
134,Second set (Jan 17),../VALSE_data/images/swig/driving_253.jpg,A man drives a trailer truck.,A trailer truck drives past a man.,actions,Approve,,27.2026653289794,26.2539176940917,0.948747634887695,medium_perf,,,,,
142,Second set (Jan 17),../VALSE_data/images/swig/handcuffing_40.jpg,A man handcuffs a woman.,A woman handcuffs a man.,actions,Approve,,33.5225067138671,33.0652885437011,0.457218170166015,medium_perf,,,,,
181,Second set (Jan 17),../VALSE_data/images/swig/scolding_34.jpg,A mother scolds her daughter.,A mother encourages her daughter.,actions,Approve,,29.3407936096191,26.4308643341064,2.90992927551269,high_perf,,,,,
196,Second set (Jan 17),../VALSE_data/images/swig/tackling_118.jpg,A soccer player tackles the opposition.,A soccer player coaches the opposition.,actions,Approve,,28.6637897491455,25.3412742614746,3.32251548767089,high_perf,,,,,
114,Second set (Jan 17),../VALSE_data/images/swig/caressing_51.jpg,A man caresses a man.,A man chases a man.,actions,Approve,,25.2503833770751,22.0282039642334,3.22217941284179,high_perf,,,,,
206,Second set (Jan 17),../VALSE_data/images/swig/urinating_251.jpg,A man urinates against a wall.,A man skates against a wall.,actions,Approve,,31.3676624298095,24.135643005371,7.23201942443847,high_perf,,,,,
161,First set (Jan 16),../VALSE_data/images/swig/licking_291.jpg,A cow licks its fur.,A cow wrinkles its fur.,actions,Approve,,33.2042541503906,28.8586368560791,4.34561729431152,high_perf,,,,,
180,First set (Jan 16),../VALSE_data/images/swig/scolding_30.jpg,A girl scolds a male child.,A girl guards a male child.,actions,Approve,,29.8364448547363,27.5356369018554,2.30080795288085,high_perf,,,,,
139,First set (Jan 16),../VALSE_data/images/swig/foraging_17.jpg,A man forages for a flower.,A man asks for a flower.,actions,Approve,,29.4449806213378,23.8871898651123,5.55779075622558,high_perf,,,,,
124,First set (Jan 16),../VALSE_data/images/swig/communicating_34.jpg,A woman communicates with another woman.,A woman camps with another woman.,actions,Approve,,30.4856243133544,26.3082466125488,4.17737770080566,high_perf,,,,,
125,First set (Jan 16),../VALSE_data/images/swig/complaining_6.jpg,A woman complains to a cockroach.,A cockroach complains to a woman.,actions,Unsure,It's not clear who is complaining to whom.,32.2387771606445,32.1578254699707,0.0809516906738281,low_perf,,,,,
126,First set (Jan 16),../VALSE_data/images/swig/counting_103.jpg,A person counts money.,A person pays money.,actions,Unsure,The person might be paying. Ambiguous.,25.4828987121582,25.8078269958496,-0.324928283691406,low_perf,,,,,
146,First set (Jan 16),../VALSE_data/images/swig/imitating_145.jpg,A child imitates such a woman.,A woman imitates such a child.,actions,Unsure,Neither caption nor foil corresponds clearly to the picture.,25.8805332183837,26.1395645141601,-0.259031295776367,low_perf,,,,,
201,First set (Jan 16),../VALSE_data/images/swig/training_228.jpg,A businesswoman trains a colleague.,A colleague trains as a businesswoman.,actions,Unsure,Ambiguous.,22.0648155212402,22.8404388427734,-0.775623321533203,low_perf,,,,,
189,Second set (Jan 17),../VALSE_data/images/swig/socializing_108.jpg,A dog socializes with a dog.,A dog interviews with a dog.,actions,Unsure,Implausible foil,28.7940940856933,28.1222839355468,0.671810150146484,medium_perf,,,,,
167,First set (Jan 16),../VALSE_data/images/swig/peeing_115.jpg,A woman pees into a toilet.,A toilet pees on a woman.,actions,Unsure,A toilet can't pee. Invalid foil,25.8819923400878,24.0684146881103,1.81357765197753,medium_perf,,,,,
110,Second set (Jan 17),../VALSE_data/images/swig/brewing_85.jpg,A man brews his coffee.,A coffee brews for the man.,actions,Unsure,Meaning of foil is not clear.,24.6657276153564,23.2796478271484,1.386079788208,medium_perf,,,,,
116,First set (Jan 16),../VALSE_data/images/swig/chasing_258.jpg,A hunter chases after a American bison.,A hunter forags after a American bison.,actions,Unsure,Foraging after a bison is semantically almost invalid.,37.3720817565918,35.0131378173828,2.35894393920898,high_perf,,,,,
123,First set (Jan 16),../VALSE_data/images/swig/coaching_90.jpg,A woman coaches people.,A woman reads people.,actions,Unsure,"Unclear what ""reading people"" would mean in this context.",28.1843585968017,18.2016201019287,9.98273849487304,high_perf,,,,,
175,First set (Jan 16),../VALSE_data/images/swig/punting_194.jpg,A football player punts a football.,A football player drives a football.,actions,Unsure,Punt - drive distinction unclear in the context of the photo.,29.2061176300048,25.1182994842529,4.08781814575195,high_perf,,,,,
159,First set (Jan 16),../VALSE_data/images/swig/leading_42.jpg,A woman leads a parade.,A parade leads to a woman.,actions,Unsure,Foil is highly implausible/confusing.,28.2779960632324,25.9233932495117,2.3546028137207,high_perf,,,,,
0,First set (Jan 16),../VALSE_data/images/coco2017/000000001584.jpg,"The red, double decker bus is driving past other buses.","The red, double decker bus is driving towards other buses.",relations,Approve,,30.2696495056152,30.4010295867919,-0.131380081176757,low_perf,,,,,
93,Second set (Jan 17),../VALSE_data/images/coco2017/000000511599.jpg,Several people are standing outside a large boat.,Several people are standing in a large boat.,relations,Approve,,27.8277206420898,28.3972396850585,-0.56951904296875,low_perf,,,,,
86,Second set (Jan 17),../VALSE_data/images/coco2017/000000461751.jpg,A man sitting on a motorcycle smoking a cigarette.,A man sitting alongside a motorcycle smoking a cigarette.,relations,Approve,,28.5772819519042,29.0350170135498,-0.457735061645507,low_perf,,,,,
3,First set (Jan 16),../VALSE_data/images/coco2017/000000027620.jpg,The laptop was left open on the desk.,The laptop was left open under the desk.,relations,Approve,,24.6683273315429,25.3388061523437,-0.670478820800781,low_perf,,,,,
62,Second set (Jan 17),../VALSE_data/images/coco2017/000000350405.jpg,A man riding a snowboard down a ski slope.,A man riding a snowboard up a ski slope.,relations,Approve,,33.046459197998,33.2189064025878,-0.172447204589843,low_perf,,,,,
41,First set (Jan 16),../VALSE_data/images/coco2017/000000229858.jpg,An adult and baby moose step out of a busy thicket in the wild.,An adult and baby moose step inside of a busy thicket in the wild.,relations,Approve,,32.1756858825683,33.4727783203125,-1.29709243774414,low_perf,,,,,
73,Second set (Jan 17),../VALSE_data/images/coco2017/000000384666.jpg,There are some skiers heading down a slope,There are some skiers heading up a slope,relations,Approve,,28.6313323974609,28.6861152648925,-0.0547828674316406,low_perf,,,,,
21,First set (Jan 16),../VALSE_data/images/coco2017/000000119641.jpg,People are riding on elephants in a river.,People are riding on elephants beside a river.,relations,Approve,,35.72700881958,37.9156303405761,-2.18862152099609,low_perf,,,,,
1,First set (Jan 16),../VALSE_data/images/coco2017/000000005529.jpg,A person on skis is skiing down a snowy hill.,A person on skis is skiing up a snowy hill.,relations,Approve,,29.8817119598388,29.7977294921875,0.0839824676513671,medium_perf,,,,,
87,First set (Jan 16),../VALSE_data/images/coco2017/000000478393.jpg,"Teddybear, kitten and calico cat are all taking a nap on the bed.","Teddybear, kitten and calico cat are all taking a nap beside the bed.",relations,Approve,,35.7530860900878,35.4077911376953,0.345294952392578,medium_perf,,,,,
75,First set (Jan 16),../VALSE_data/images/coco2017/000000393093.jpg,The train is going over the busy urban bridge.,The train is going towards the busy urban bridge.,relations,Approve,,30.9995861053466,30.8164348602294,0.183151245117187,medium_perf,,,,,
2,First set (Jan 16),../VALSE_data/images/coco2017/000000021903.jpg,A man reaches out to give the elephant something.,A man reaches inside to give the elephant something.,relations,Approve,,31.9206867218017,31.5983028411865,0.322383880615234,medium_perf,,,,,
51,Second set (Jan 17),../VALSE_data/images/coco2017/000000278848.jpg,People are standing in the rain alongside a bus.,People are standing in the rain on a bus.,relations,Approve,,33.4705772399902,33.0323524475097,0.438224792480468,medium_perf,,,,,
28,First set (Jan 16),../VALSE_data/images/coco2017/000000164885.jpg,A skier flies over a mogul on the slope.,A skier flies to a mogul on the slope.,relations,Approve,,31.6118564605712,31.2731552124023,0.338701248168945,medium_perf,,,,,
4,First set (Jan 16),../VALSE_data/images/coco2017/000000033368.jpg,A tennis player is standing on the court.,A tennis player is standing off the court.,relations,Approve,,33.1915855407714,30.2415218353271,2.95006370544433,high_perf,,,,,
16,Second set (Jan 17),../VALSE_data/images/coco2017/000000089880.jpg,Two dogs are playing together on the grass,Two dogs are playing together under the grass,relations,Approve,,29.4099235534667,28.6664962768554,0.743427276611328,high_perf,,,,,
49,First set (Jan 16),../VALSE_data/images/coco2017/000000272364.jpg,Four tall giraffe are looking up to eat from a feeder.,Four tall giraffe are looking down to eat from a feeder.,relations,Approve,,33.295310974121,32.7642555236816,0.531055450439453,high_perf,,,,,
7,Second set (Jan 17),../VALSE_data/images/coco2017/000000057027.jpg,A baby elephant walks with an older elephant,A baby elephant walks past an older elephant,relations,Approve,,29.8523273468017,29.3278980255126,0.524429321289062,high_perf,,,,,
23,Second set (Jan 17),../VALSE_data/images/coco2017/000000121586.jpg,A cat is on the television screen in an office.,A cat is below the television screen in an office.,relations,Approve,,27.276439666748,25.3063106536865,1.97012901306152,high_perf,,,,,
91,Second set (Jan 17),../VALSE_data/images/coco2017/000000493019.jpg,A group of zebras are bending down and eating a box full of grass.,A group of zebras are bending up and eating a box full of grass.,relations,Approve,,36.1963233947753,35.4088096618652,0.787513732910156,high_perf,,,,,
13,Second set (Jan 17),../VALSE_data/images/coco2017/000000082696.jpg,A bird is walking right through a dining room.,A bird is walking right by a dining room.,relations,Approve,,32.5405158996582,30.0577850341796,2.48273086547851,high_perf,,,,,
57,First set (Jan 16),../VALSE_data/images/coco2017/000000320554.jpg,A black cat sits beneath a bench in the sun.,A black cat sits on a bench in the sun.,relations,Approve,,31.4715938568115,30.4565029144287,1.01509094238281,high_perf,,,,,
89,First set (Jan 16),../VALSE_data/images/coco2017/000000488385.jpg,A black and white motorcycle parked on the sidewalk outside a store.,A black and white motorcycle parked on the sidewalk in a store.,relations,Unsure,A motorcycle parked on a sidewalk inside a store is highly implausible.,33.958927154541,34.4554405212402,-0.496513366699218,low_perf,,,,,
74,Second set (Jan 17),../VALSE_data/images/coco2017/000000389684.jpg,a man walks down a sidewalk as a vehicle passes,A man walks up a sidewalk as a vehicle passes,relations,Unsure,Both could be valid.,25.8787822723388,26.1700134277343,-0.291231155395507,low_perf,,,,,
22,Second set (Jan 17),../VALSE_data/images/coco2017/000000121506.jpg,An umbrella on a backyard patio is upturned from the wind.,An umbrella on a backyard patio is upturned into the wind.,relations,Unsure,Foil is possibly semantically invalid.,30.6473903656005,30.8837051391601,-0.23631477355957,low_perf,,,,,
70,First set (Jan 16),../VALSE_data/images/coco2017/000000378673.jpg,A man riding a skateboard down the side of a ramp.,A man riding a skateboard up the side of a ramp.,relations,Unsure,"Not clear enough from the photo whether the man is going ""up"" or ""down"" a ramp",28.398229598999,28.6704921722412,-0.272262573242187,low_perf,,,,,
48,First set (Jan 16),../VALSE_data/images/coco2017/000000260106.jpg,A man on a horse during  a race jumps over a hurdle,A man on a horse during a race jumps down a hurdle,relations,Unsure,Horses generally jump over hurdles. it is not clear what jumping down a hurdle would mean.,27.8387451171875,27.5555801391601,0.283164978027343,medium_perf,,,,,
5,First set (Jan 16),../VALSE_data/images/coco2017/000000038118.jpg,The man is skiing down the snowy hill.,The man is skiing up the snowy hill.,relations,Unsure,Direction of travel (up or down) is ambiguous in the photo,27.185935974121,27.1804027557373,0.00553321838378906,medium_perf,,,,,
78,First set (Jan 16),../VALSE_data/images/coco2017/000000411953.jpg,a guy plays guitar on the stage center,A guy plays guitar off the stage center,relations,Unsure,The position of the man is not really visible enough to distinguish the two.,27.2072715759277,26.9074878692626,0.299783706665039,medium_perf,,,,,
50,First set (Jan 16),../VALSE_data/images/coco2017/000000273711.jpg,there are many different types of food gathered on the table,There are many different types of food gathered under the table,relations,Unsure,Food being gathered under the table is highly unlikely.,29.7401542663574,29.1281147003173,0.612039566040039,high_perf,,,,,
68,First set (Jan 16),../VALSE_data/images/coco2017/000000376307.jpg,The two women sit near the blender next to a table covered in fruit.,The two women sit in the blender next to a table covered in fruit.,relations,Unsure,Highly implausible foil,30.3218441009521,29.5527305603027,0.769113540649414,high_perf,,,,,
18,First set (Jan 16),../VALSE_data/images/coco2017/000000112997.jpg,a person is holding up an old cellphone,A person is holding down an old cellphone,relations,Unsure,"""Holding down"" a cellphone is not meaningful.",25.8738632202148,24.9962844848632,0.877578735351562,high_perf,,,,,
88,First set (Jan 16),../VALSE_data/images/coco2017/000000482436.jpg,The woman in the diner and the man looking into the window are making eye contact.,The woman outside the diner and the man looking into the window are making eye contact.,relations,Unsure,"If the woman is outside and the man is looking inside, it would be implausible that they are making eye contact.",29.8058052062988,28.8464336395263,0.95937156677246,high_perf,,,,,
