dataset,dataset_idx,image_file,linguistic_phenomena,caption,answer,classes,split,original_split,classes_foil,mturk,foil,challenge_set,foil_method,grammaticality_scores,nli_scores,key,declarative_statement,declarative_statement_foils,provenance_of_foils,foiling_method,orig_caption,only_caption,local_img_path
visual7w,713258,v7w_713258.jpg,counting,There is exactly 1 elephant.,1,1,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 elephants.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_713258.jpg
visual7w,1591944,v7w_1591944.jpg,counting,There are exactly 3 wheels.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 wheels.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_1591944.jpg
visual7w,2362452,v7w_2362452.jpg,counting,There is exactly 1 foot on the skateboard.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 feet on the skateboard.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2362452.jpg
visual7w,2367366,v7w_2367366.jpg,counting,There are exactly 2 people shown.,2,2,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2367366.jpg
visual7w,2381467,v7w_2381467.jpg,counting,There is exactly 1 train shown.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 trains shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2381467.jpg
visual7w,2391135,v7w_2391135.jpg,counting,There are exactly 3 people in the picture.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2391135.jpg
visual7w,2317623,v7w_2317623.jpg,counting,There is exactly 1 hot dog.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 hot dogs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2317623.jpg
visual7w,2390942,v7w_2390942.jpg,counting,You see exactly 0 people.,0,0,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",You see exactly 3 people.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2390942.jpg
visual7w,2319888,v7w_2319888.jpg,counting,There are exactly 2 bicycles in the picture.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 bicycles in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2319888.jpg
visual7w,2395218,v7w_2395218.jpg,counting,There is exactly 1 bird on the railing.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 birds on the railing.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2395218.jpg
visual7w,286095,v7w_286095.jpg,counting,There are exactly 3 buildings surround the clock tower.,3,3,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 building surround the clock tower.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_286095.jpg
visual7w,2408682,v7w_2408682.jpg,counting,There are exactly 3 elephants in the picture.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 elephants in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2408682.jpg
visual7w,2407554,v7w_2407554.jpg,counting,There is exactly 1 bus in the photo.,1,1,test,test,2,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 2 buses in the photo.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2407554.jpg
visual7w,1592615,v7w_1592615.jpg,counting,There are exactly 2 computers.,2,2,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 computers.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_1592615.jpg
visual7w,2413440,v7w_2413440.jpg,counting,There is exactly 1 elephant.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 elephants.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2413440.jpg
visual7w,2364769,v7w_2364769.jpg,counting,There is exactly 1 laptop on the table.,1,1,test,test,2,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 2 laptops on the table.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2364769.jpg
visual7w,2392825,v7w_2392825.jpg,counting,There are exactly 3 giraffes shown.,3,3,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 giraffe shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2392825.jpg
visual7w,2398772,v7w_2398772.jpg,counting,There is exactly 1 tree in the image.,1,1,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 trees in the image.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2398772.jpg
visual7w,2398555,v7w_2398555.jpg,counting,There are exactly 3 forms of light.,3,3,test,test,2,"{'foil': 1, 'caption': 1, 'other': 1}",There are exactly 2 forms of light.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2398555.jpg
visual7w,150543,v7w_150543.jpg,counting,There are exactly 3 windows shown.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 windows shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_150543.jpg
visual7w,2394412,v7w_2394412.jpg,counting,There is exactly 1 kid batting.,1,1,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 kids batting.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2394412.jpg
visual7w,1592899,v7w_1592899.jpg,counting,There are exactly 2 buildings the flags hung from.,2,2,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 building the flags hung from.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_1592899.jpg
visual7w,2348579,v7w_2348579.jpg,counting,There are exactly 2 hot dogs.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 hot dogs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2348579.jpg
visual7w,2401311,v7w_2401311.jpg,counting,There are exactly 3 lights.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 lights.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2401311.jpg
visual7w,2382406,v7w_2382406.jpg,counting,There are exactly 2 candles.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 candles.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2382406.jpg
visual7w,2397504,v7w_2397504.jpg,counting,There are exactly 3 paper bag.,3,3,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 paper bag.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2397504.jpg
visual7w,2327763,v7w_2327763.jpg,counting,There are exactly 0 people visible.,0,0,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 person visible.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2327763.jpg
visual7w,2382102,v7w_2382102.jpg,counting,There is exactly 1 boat.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 boats.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2382102.jpg
visual7w,2326658,v7w_2326658.jpg,counting,There are exactly 3 people sitting on the bench.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people sitting on the bench.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2326658.jpg
visual7w,2416589,v7w_2416589.jpg,counting,There are exactly 2 cows.,2,2,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 cow.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2416589.jpg
visual7w,2371901,v7w_2371901.jpg,counting,There is exactly 1 green object on the floor.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 green objects on the floor.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2371901.jpg
visual7w,2390632,v7w_2390632.jpg,counting,There are exactly 2 signs in the photo.,2,2,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 sign in the photo.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2390632.jpg
visual7w,2330406,v7w_2330406.jpg,counting,There is exactly 1 screen shown.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 screens shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2330406.jpg
visual7w,2392714,v7w_2392714.jpg,counting,There are exactly 2 people.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 people.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2392714.jpg
visual7w,2358152,v7w_2358152.jpg,counting,There are exactly 0 people in the picture.,0,0,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2358152.jpg
visual7w,2334774,v7w_2334774.jpg,counting,There is exactly 1 man on the field.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 men on the field.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2334774.jpg
visual7w,150258,v7w_150258.jpg,counting,There are exactly 0 buildings in the photo.,0,0,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 buildings in the photo.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_150258.jpg
visual7w,2328329,v7w_2328329.jpg,counting,Exactly 2 hours can someone park at this spot.,2,2,test,test,0,"{'foil': 1, 'caption': 1, 'other': 1}",Exactly 0 hours can someone park at this spot.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2328329.jpg
visual7w,2398392,v7w_2398392.jpg,counting,There is exactly 1 woman in the room.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 women in the room.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2398392.jpg
visual7w,2373955,v7w_2373955.jpg,counting,There are exactly 2 dogs.,2,2,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 dogs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2373955.jpg
visual7w,2362181,v7w_2362181.jpg,counting,There is exactly 1 pan.,1,1,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 pans.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2362181.jpg
visual7w,2321323,v7w_2321323.jpg,counting,There are exactly 3 red umbrellas.,3,3,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 red umbrella.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2321323.jpg
visual7w,150356,v7w_150356.jpg,counting,There are exactly 2 people wearing slippers.,2,2,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 people wearing slippers.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_150356.jpg
visual7w,713043,v7w_713043.jpg,counting,There is exactly 1 woman smiling.,1,1,test,test,3,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 3 women smiling.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_713043.jpg
visual7w,2320133,v7w_2320133.jpg,counting,There is exactly 1 vase.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 vases.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2320133.jpg
visual7w,2390850,v7w_2390850.jpg,counting,There are exactly 0 people in the water.,0,0,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person in the water.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2390850.jpg
visual7w,2388378,v7w_2388378.jpg,counting,There are exactly 2 skiers.,2,2,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 skier.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2388378.jpg
visual7w,2356195,v7w_2356195.jpg,counting,There are exactly 3 chairs seen.,3,3,test,test,0,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 0 chairs seen.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2356195.jpg
visual7w,2357171,v7w_2357171.jpg,counting,There is exactly 1 tree.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 trees.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2357171.jpg
visual7w,2400851,v7w_2400851.jpg,counting,There are exactly 2 elephants.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 elephants.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2400851.jpg
visual7w,2320820,v7w_2320820.jpg,counting,There are exactly 2 glasses.,2,2,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 glass.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2320820.jpg
visual7w,2319737,v7w_2319737.jpg,counting,There are exactly 2 cars.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 cars.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2319737.jpg
visual7w,2417211,v7w_2417211.jpg,counting,There are exactly 3 boards.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 boards.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2417211.jpg
visual7w,2341686,v7w_2341686.jpg,counting,There are exactly 0 people sitting on the couch.,0,0,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people sitting on the couch.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2341686.jpg
visual7w,2359931,v7w_2359931.jpg,counting,There are exactly 2 kids.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 kids.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2359931.jpg
visual7w,2318472,v7w_2318472.jpg,counting,There are exactly 3 chairs in front of the buildings.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 chairs in front of the buildings.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2318472.jpg
visual7w,2356590,v7w_2356590.jpg,counting,Exactly 2 animals can be seen.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",Exactly 3 animals can be seen.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2356590.jpg
visual7w,2416583,v7w_2416583.jpg,counting,There are exactly 3 automobiles visible.,3,3,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 automobiles visible.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2416583.jpg
visual7w,2330224,v7w_2330224.jpg,counting,There are exactly 3 different pictures.,3,3,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 different picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2330224.jpg
visual7w,2366303,v7w_2366303.jpg,counting,There are exactly 3 total lamps.,3,3,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 total lamp.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2366303.jpg
visual7w,2344214,v7w_2344214.jpg,counting,There are exactly 3 lights on the signal light.,3,3,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 lights on the signal light.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2344214.jpg
visual7w,2350806,v7w_2350806.jpg,counting,There is exactly 1 little girl.,1,1,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 little girls.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2350806.jpg
visual7w,2372326,v7w_2372326.jpg,counting,There are exactly 3 slalom poles.,3,3,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 slalom pole.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2372326.jpg
visual7w,2401254,v7w_2401254.jpg,counting,There are exactly 3 colors in the skateboard.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 colors in the skateboard.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2401254.jpg
visual7w,2416322,v7w_2416322.jpg,counting,There are exactly 3 people wearing glasses.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people wearing glasses.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2416322.jpg
visual7w,2381480,v7w_2381480.jpg,counting,There is exactly 1 giraffe.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 giraffes.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2381480.jpg
visual7w,2382635,v7w_2382635.jpg,counting,There are exactly 3 boats.,3,3,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 boat.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2382635.jpg
visual7w,2368862,v7w_2368862.jpg,counting,There is exactly 1 horse.,1,1,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 horses.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2368862.jpg
visual7w,2336375,v7w_2336375.jpg,counting,There are exactly 3 sandwich halves shown.,3,3,test,test,2,"{'foil': 3, 'caption': 0, 'other': 0}",There are exactly 2 sandwich halves shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2336375.jpg
visual7w,2371980,v7w_2371980.jpg,counting,There is exactly 1 kind of animals in the picture.,1,1,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 kinds of animals in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2371980.jpg
visual7w,2409603,v7w_2409603.jpg,counting,There are exactly 0 dogs on the beach.,0,0,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 dogs on the beach.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2409603.jpg
visual7w,2316941,v7w_2316941.jpg,counting,There are exactly 3 TV controllers below the TV.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 TV controllers below the TV.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2316941.jpg
visual7w,2343236,v7w_2343236.jpg,counting,There are exactly 0 people pictured.,0,0,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 people pictured.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2343236.jpg
visual7w,2318597,v7w_2318597.jpg,counting,There are exactly 2 elephants.,2,2,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 elephants.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2318597.jpg
visual7w,2384731,v7w_2384731.jpg,counting,There are exactly 2 cats pictured.,2,2,test,test,3,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 3 cats pictured.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2384731.jpg
visual7w,2342524,v7w_2342524.jpg,counting,There is exactly 1 vase on the table.,1,1,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 vases on the table.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2342524.jpg
visual7w,2351214,v7w_2351214.jpg,counting,There are exactly 3 windows.,3,3,test,test,0,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 0 windows.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2351214.jpg
visual7w,2368105,v7w_2368105.jpg,counting,There are exactly 3 boats on the side of the building.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 boats on the side of the building.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2368105.jpg
visual7w,2407799,v7w_2407799.jpg,counting,There is exactly 1 animal in this picture.,1,1,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 animals in this picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2407799.jpg
visual7w,2321924,v7w_2321924.jpg,counting,There are exactly 2 burgers pictured.,2,2,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 burgers pictured.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2321924.jpg
visual7w,2363189,v7w_2363189.jpg,counting,There is exactly 1 bench.,1,1,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 benches.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2363189.jpg
visual7w,2410457,v7w_2410457.jpg,counting,There are exactly 3 people under the umbrella.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people under the umbrella.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2410457.jpg
visual7w,2376097,v7w_2376097.jpg,counting,There is exactly 1 bird in each photo.,1,1,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 birds in each photo.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2376097.jpg
visual7w,2362233,v7w_2362233.jpg,counting,There are exactly 3 zebras.,3,3,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 1 zebras.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2362233.jpg
visual7w,2359914,v7w_2359914.jpg,counting,There is exactly 1 bird flying.,1,1,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 birds flying.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2359914.jpg
visual7w,2397425,v7w_2397425.jpg,counting,There are exactly 2 people shown.,2,2,test,test,3,"{'foil': 1, 'caption': 1, 'other': 1}",There are exactly 3 people shown.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2397425.jpg
visual7w,2322408,v7w_2322408.jpg,counting,There are exactly 2 horses.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 horses.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2322408.jpg
visual7w,2339394,v7w_2339394.jpg,counting,There is exactly 1 full slices of pizza in the picture.,1,1,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 full slices of pizza in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2339394.jpg
visual7w,2367780,v7w_2367780.jpg,counting,There is exactly 1 pizza.,1,1,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 pizzas.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2367780.jpg
visual7w,2344236,v7w_2344236.jpg,counting,There is exactly 1 rug.,1,1,test,test,2,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 2 rugs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2344236.jpg
visual7w,2414881,v7w_2414881.jpg,counting,There are exactly 2 men holding the tiger.,2,2,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 men holding the tiger.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2414881.jpg
visual7w,713896,v7w_713896.jpg,counting,There are exactly 2 brown chairs.,2,2,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 brown chairs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_713896.jpg
visual7w,2339389,v7w_2339389.jpg,counting,There are exactly 2 glasses.,2,2,test,test,3,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 3 glasses.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2339389.jpg
visual7w,2385711,v7w_2385711.jpg,counting,There are exactly 0 people in the picture.,0,0,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2385711.jpg
visual7w,2367575,v7w_2367575.jpg,counting,There is exactly 1 man in the picture.,1,1,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 men in the picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2367575.jpg
visual7w,2346733,v7w_2346733.jpg,counting,There are exactly 0 people in the shot.,0,0,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person in the shot.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2346733.jpg
visual7w,2325025,v7w_2325025.jpg,counting,There are exactly 3 yaks.,3,3,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There is exactly 1 yak.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2325025.jpg
visual7w,2327218,v7w_2327218.jpg,counting,There are exactly 3 people smiling.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people smiling.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2327218.jpg
